ID	Name	Value	Stock	Units	Description
auF10997	B2139 - Target ID mismatch	1	No MIL		MIL switch for B2139 - 0=cal_out_ 1=non_mil_ 2=mil
auF12591	B2979 - A/C compressor cycling on over pressure_ fault.	1	1		Switch to enable Pcode b2979 output.
auF10302	P000A - Fault code_ intake cam stuck during crank (non-MIL.)_	1	No MIL		Intake cam not  locked in - 0=cal_out_ 1=non_mil_ 2=mil
auF12798	P000D - Fault code_ exhaust (bank 2) cam stuck during crank (non-MIL.)_	1	No MIL		Exhaust cam not  locked in - 0=cal_out_ 1=non_mil_ 2=mil
auF10763	P0107 - Manifold Absolute Pressure/Barometric Pressure Circuit Low Input	2	MIL Light		0=cal_out_ 1=non_mil_ 2=mil
auF12556	P0109 - Intake Air Temperature Circuit Malfunction	1	No MIL		0=cal_out_ 1=non_mil_ 2=2-trip mil_ 5=1-trip mil_ 6=selectable 1/2-trip mil
auF10233	P0116 - Engine Coolant Temperature Circuit Range/Performance Problem	0	No Error		0=cal_out_ 1=non_mil_ 2=mil
auF11712	P0121 - Throttle Position Sensor/Switch A Circuit Range/Performance Problem	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF12659	P0122 - Throttle Position Sensor/Switch A Circuit Low Input	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF10820	P0123 - Throttle Position Sensor/Switch A Circuit High Input	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF11961	P0124 - Throttle Position Sensor/Switch A Circuit Intermittent	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil_ TP1 intermittent fault.
auF12966	P0125 - Insufficient Coolant Temperature for Closed Loop Fuel Control	0	No Error		0=cal_out_ 1=non_mil_ 2=mil
auF11553	P0132 - Oxygen Sensor Circuit High Voltage (Bank 1 Sensor 1)	2	MIL Light		0=cal_out_ 1=non_mil_ 2=mil
auF11547	P0133 - Oxygen Sensor Circuit Slow Response (Bank 1 Sensor 1)	2	MIL Light		0=cal_out_ 1=non_mil_ 2=mil
auF10505	P0135 - Oxygen Sensor Heater Circuit Malfunction (Bank 1 Sensor 1)	2	MIL Light		0=cal_out_ 1=non_mil_ 2=mil
auF10174	P0152 - Oxygen Sensor Circuit High Voltage (Bank 2 Sensor 1)	0	No Error		0=cal_out_ 1=non_mil_ 2=mil
auF12553	P0153 - Oxygen Sensor Circuit Slow Response (Bank 2 Sensor 1)	0	No Error		0=cal_out_ 1=non_mil_ 2=mil
auF10634	P0196 - Engine Oil Temperature Sensor Range/Performance	2	MIL Light		0=cal_out_ 1=non_mil_ 2=mil
auF10860	P0197 - Engine Oil Temperature Sensor Low	2	MIL Light		EOT sensor circuit low DTC type: 0=cal_out_ 1=non_mil_ 2=mil
auF10411	P0198 - Engine Oil Temperature Sensor High	2	MIL Light		EOT sensor circuit high DTC type: 0=cal_out_ 1=non_mil_ 2=mil
auF11357	P0221 - Throttle/Pedal Position Sensor/Switch B Circuit Range/Performance Problem	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF11685	P0223 - Throttle/Pedal Position Sensor/Switch B Circuit High Input	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil_ TP2 sensor high input.
auF12613	P0224 - Throttle/Pedal Position Sensor/Switch B Circuit Intermittent	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil_ TP2 sensor intermittent.
auF10021	P0230 - Fuel Pump Primary Circuit Malfunction	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF11232	P0231 - Fuel Pump Secondary Circuit Low	0	No Error		0=cal_out_ 1=non_mil_ 2=mil
auF10290	P0237 - Turbocharger Boost Sensor A Circuit Low	2	MIL Light		0=cal_out_ 1=non_mil_ 2=mil
auF11986	P0298 - Engine oil overtemp strategy active	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF12348	P0320 - Ignition/Distributor Engine Speed Input Circuit Malfunction	2	MIL Light		0=cal_out_ 1=non_mil_ 2=mil
auF10167	P0325 - Knock Sensor 1 Circuit Malfunction (Bank 1 or Single Sensor)	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF11065	P0330 - Knock Sensor 2 Circuit Malfunction (Bank 2)	1	No MIL		P0330 fault code switch. 0=cal_out_ 1=non_mil_ 2=mil
auF10485	P0335 - Crankshaft Position Sensor A Circuit Malfunction	2	MIL Light		0=cal_out_ 1=non_mil_ 2=mil
auF12694	P0503 - Vehicle Speed Sensor Intermittent/Erratic/High	0	No Error		0=cal_out_ 1=non_mil_ 2=mil
auF12739	P0504 - Brake Pedal Switch Compare Test	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF12455	P0505 - Idle Control System Malfunction	1	No MIL		0=cal_out_ 1=non_mil_ 2=2-trip mil_ 5=1-trip mil_ 6=selectable 1/2-trip mil
auF12354	P0520 - Engine Oil Pressure Sensor/Switch Circuit Malfunction	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF12054	P0524 - Engine oil pressure too low	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF10120	P0532 - A/C Refrigerant Pressure Sensor Circuit Low Input	1	1		Calibration switch to enable Fault /MIL code generation
auF12008	P0533 - A/C Refrigerant Pressure Sensor Circuit High Input	1	1		Calibration switch to enable Fault /MIL code generation
auF10442	P0534 - Air Conditioner Refrigerant Charge Loss	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF11855	P0552 - Power Steering Pressure Sensor Circuit Low Input	0	No Error		0=cal_out_ 1=non_mil_ 2=mil
auF11300	P0553 - Power Steering Pressure Sensor Circuit High Input	0	No Error		0=cal_out_ 1=non_mil_ 2=mil
auF11304	P0572 - Cruise Control/Brake Switch A Circuit Low	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF10029	P0573 - Cruise Control/Brake Switch A Circuit High	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF11544	P0603 - Internal Control Module Keep Alive Memory (KAM) Error	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF10292	P0622 - Generator Field "F" Control Circuit Malfunction	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF11276	P0630 - VIN Not Programmed or Incompatible	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF10443	P0633 - Immobolizer Key Not Programmed	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF11377	P0701 - Transmission Control System Range/Performance	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF11157	P0704 - Clutch Switch Input Circuit Malfunction	0	No Error		0=cal_out_ 1=non_mil_ 2=mil
auF15644	P0705 - Transmission Range Sensor Circuit malfunction (PRNDL Input)	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF10930	P0711 - Transmission Fluid Temperature Sensor Circuit Range/Performance	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF12065	P0712 - Transmission Fluid Temperature Sensor Circuit Low Input	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF12787	P0715 - Input/Turbine Speed Sensor Circuit Malfunction	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF12511	P0717 - Input/Turbine Speed Sensor Circuit No Signal	0	No Error		0=cal_out_ 1=non_mil_ 2=mil
auF12969	P0718 - Input/Turbine Speed Sensor Circuit Intermittent	1	No MIL		0=cal_out_ 1=non_mil_ 2=mil
auF10403	P0720 - Output Speed Sensor Circuit Malfunction	2	MIL Light		0=cal_out_ 1=non_mil_ 2=mil
